;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Tajikistan, Rep. of;325,98;231,24;334,76;493,88;418,27;487,42;492,25;440,76;550,18;448,23;533,82;425,79;239,84;281,35;223,99;263,98;298,99;358,42;319,81;309,47;398,90;349,81;354,73;342,69;214,83;149,53;216,19;327,46;306,30;361,94;260,28;296,56;353,72;305,02;404,37;371,89;245,12;156,16;231,97;254,27;279,53;281,14;311,96;327,87;293,99;261,08;346,76;383,25;282,63;240,01;270,95;386,00;299,19;297,76;328,68;326,25;304,89;323,03;378,04;340,08;261,61;197,06;274,31;387,48;322,25;300,78;350,85;319,01;412,85;450,87;390,02;456,79;278,35;327,23;248,96;219,31;220,45;265,41;396,02;431,81;344,66;421,76;474,63;488,79;461,22;338,01;477,52;593,35;51,05;61,01;71,90;71,39;75,04;108,71;46,66;56,90;72,63;106,77;85,25;81,58;105,27;72,41;75,72;79,69;81,94;70,17;127,19;50,01;55,75;74,40;64,03;79,35;67,37;77,69;76,58;69,47;84,32;87,00;73,72;62,55;85,88;69,60;83,50;75,88;95,17;82,54;119,21;119,39;173,99;75,01;80,46;71,07;90,88;97,59;112,12;110,71;121,63;98,02;102,52;92,80;212,96;99,57;117,46;146,61;114,52;211,21;103,99;111,78;158,34;74,92;88,82;204,01;95,29;95,82;81,95;85,87;56,17;73,56;74,94;70,89;182,24;67,62;71,74;77,08
Tunisia;2038,02;1931,32;2106,05;2158,36;2216,56;2090,58;2139,40;1681,43;1806,96;1953,06;1937,37;1897,99;1570,44;1534,58;1744,30;1664,05;1707,79;1858,09;1615,02;1382,81;1449,83;1556,94;1459,16;1583,00;1298,08;1572,99;1746,87;1649,55;1686,32;1629,05;1437,21;1451,54;1489,50;1453,48;1490,96;1577,77;1495,63;1515,36;1925,93;1587,89;1624,90;1603,14;1572,75;1455,58;1556,03;1756,91;1893,76;1790,95;1931,33;1760,88;2021,26;1906,08;1959,96;1827,84;1699,75;1696,10;1677,91;1935,04;1842,18;1687,19;1682,13;1599,04;1847,16;1703,58;1761,14;1642,20;1619,93;1296,13;1768,58;1776,66;1743,41;1768,74;1734,94;1543,60;1430,64;953,33;1615,71;1607,96;2075,37;2130,44;1825,96;1885,69;1936,04;1521,14;1838,10;1971,21;1992,11;2167,95;1486,10;1431,29;1511,88;1503,96;1581,99;1551,47;1642,17;1097,80;1424,89;1269,58;1363,66;1312,10;1159,93;1182,90;1325,45;1303,44;1269,35;1378,40;1193,74;968,89;1104,71;1190,81;1154,67;1149,88;1060,16;1192,00;1309,81;1207,88;1359,16;1282,55;1022,12;1119,17;1074,89;1107,72;1135,16;1067,17;1077,86;1238,45;1439,00;1284,42;1545,38;1260,90;1288,98;1218,99;1216,19;1490,32;1569,40;1384,30;1587,39;1608,46;1636,04;1608,39;1746,33;1339,55;1630,65;1217,40;1338,13;1670,74;1511,83;1480,46;1484,27;1443,08;1708,49;1699,84;1539,21;1391,77;1739,61;1138,23;1492,79;1568,25;1519,56;1565,17;1373,44;1464,42;1451,22;694,38
Turkmenistan;564,01;516,14;800,04;855,88;617,79;654,08;692,35;568,33;745,84;599,32;786,54;625,55;402,53;451,97;491,60;488,32;500,91;462,02;516,94;537,64;531,07;533,99;402,62;523,19;327,22;432,05;461,43;529,44;461,14;689,22;392,94;427,97;376,82;320,10;315,80;368,59;263,88;331,20;387,76;387,11;437,45;425,10;321,82;303,18;224,85;239,71;248,29;264,95;185,19;135,82;171,78;202,94;195,54;166,87;152,06;183,14;202,40;275,29;200,63;182,64;125,21;140,15;183,46;179,21;202,00;186,67;268,93;303,88;273,57;354,18;287,61;320,24;246,23;220,51;264,29;235,61;121,02;170,46;246,79;237,46;313,21;407,27;641,33;457,68;328,08;247,37;291,78;247,96;1028,23;1006,78;936,94;1015,79;1118,24;1106,49;1054,05;1127,87;1063,33;769,97;833,18;1135,11;1195,85;1105,01;970,57;1004,77;770,15;738,17;759,04;778,07;767,38;711,00;550,41;896,12;870,76;799,86;776,02;1122,95;566,95;582,20;609,89;439,44;775,65;542,32;636,04;620,69;735,18;748,48;699,60;859,19;719,80;757,48;724,52;708,56;708,89;623,54;628,16;695,25;712,91;821,17;835,35;856,95;867,49;828,90;900,74;938,90;895,21;773,46;960,15;954,93;956,34;1000,52;986,07;947,16;995,65;953,62;969,13;963,81;949,56;807,18;835,75;808,53;854,28;822,96;697,89;858,67
United Arab Emirates;24242,96;20538,02;23243,45;22694,10;23719,11;22239,26;22735,82;21213,73;23844,71;23474,10;23149,65;23675,46;20792,55;19595,00;20266,60;21011,51;20000,32;20592,01;21497,84;19516,43;19586,14;19688,34;18940,50;20917,88;17687,86;17742,07;19303,75;18861,63;19797,78;20312,81;18036,88;18589,42;17991,42;19274,39;19678,37;22576,91;17275,93;17937,95;22667,73;18771,63;21444,31;19235,48;18610,32;18024,69;19196,67;17978,32;19934,81;22147,31;15992,04;16494,74;18752,91;18963,71;19727,86;19808,73;21054,72;17771,62;18475,37;19130,26;19998,51;21322,26;18900,13;16802,70;19735,02;18698,33;20633,25;17233,54;19193,14;17643,41;19319,74;19406,84;19476,52;21598,75;17603,43;17468,37;16881,52;11712,02;18032,34;17150,81;20708,12;19122,45;19311,29;20498,31;20621,34;19859,63;20714,19;22462,32;23571,07;27451,87;20133,84;18704,32;20914,43;19703,21;20048,68;20122,93;21383,30;21327,68;20742,78;19758,97;18880,16;16911,67;15555,77;13270,32;15225,69;15352,48;13968,82;15693,49;15952,86;13901,41;13508,97;14318,33;12540,94;13603,62;12032,76;12235,59;13903,21;13486,19;14607,81;15386,85;14444,55;15314,66;14767,71;14071,43;14106,54;15541,42;14797,29;15182,87;17497,09;15538,85;16728,35;14841,64;14494,78;16284,08;15671,02;15878,80;16465,79;16940,33;16167,94;16825,89;17075,21;17163,20;18340,51;16841,54;18374,65;18655,91;18227,05;19196,74;18886,97;18744,48;17288,25;15166,82;17311,23;17458,58;17944,04;16692,31;19276,95;17763,47;17775,58;17521,29;17648,63;18910,80;17028,99;15818,50;15125,64;10346,60
Uzbekistan, Rep. of;980,91;991,28;1182,71;1372,49;1260,18;1276,09;1303,32;1162,49;1306,42;1205,56;1123,57;1324,66;778,95;1015,68;918,78;1214,50;934,72;1022,50;922,77;837,27;923,27;908,56;823,33;930,73;628,32;732,19;856,58;813,09;823,69;765,25;849,56;953,32;807,48;868,05;943,78;929,62;620,38;797,33;923,18;857,20;861,88;1060,85;1111,71;1018,55;989,37;991,73;1107,33;1517,42;1034,37;1247,49;1289,11;1271,76;1424,54;1458,89;1477,94;1536,98;1487,32;1636,12;1755,25;1733,03;1261,89;1318,27;1597,16;1801,16;1596,34;1682,91;1863,33;1594,70;1858,48;1795,78;1863,04;1974,72;1232,11;1501,53;1588,36;1619,78;1380,63;1481,03;1817,10;1909,58;1935,43;2043,46;1787,21;1925,11;2042,36;2018,19;2167,87;2700,09;471,10;359,46;422,98;485,07;498,23;477,45;610,01;1432,20;570,63;474,63;433,12;897,27;368,44;742,52;847,83;480,39;395,82;463,83;429,06;423,68;726,19;751,15;294,16;766,14;685,08;375,75;481,85;840,71;575,03;491,37;813,68;909,46;385,61;850,12;1245,80;473,91;358,75;421,53;789,51;894,88;939,43;536,45;924,21;1318,73;945,67;963,93;1119,38;537,07;1356,76;431,48;462,55;1013,42;1195,43;650,63;608,67;530,07;546,09;1420,52;643,42;622,35;1424,12;948,75;506,33;1071,86;730,12;1054,92;1961,70;1112,63;1126,79;613,91;620,16;1139,78;1026,34;949,32;461,45;930,00
West Bank and Gaza;67,48;61,53;67,19;60,80;64,65;64,21;53,99;45,39;57,54;50,59;59,92;64,66;47,12;52,72;69,42;67,23;69,00;79,99;53,16;62,14;66,99;74,19;62,83;67,58;45,72;62,04;71,28;63,60;70,34;77,20;57,25;71,06;65,30;70,39;67,62;69,48;68,55;71,42;77,40;65,82;86,36;90,54;82,38;81,18;79,30;87,87;89,41;80,93;70,49;77,53;95,30;78,75;83,40;77,32;84,87;80,08;76,11;82,76;66,41;68,94;69,71;70,61;85,73;84,89;92,08;71,68;86,46;67,85;84,24;87,32;88,18;91,65;72,15;80,13;94,41;65,71;110,76;99,87;125,37;108,80;109,59;125,99;114,93;125,79;118,93;135,71;143,18;161,42;10,53;8,73;10,79;8,28;9,97;10,12;8,32;9,12;9,38;9,93;10,11;11,59;9,51;7,63;9,40;10,26;9,40;11,93;7,84;8,60;9,65;9,86;8,56;11,30;8,93;7,93;9,16;11,40;11,87;9,73;8,11;8,62;7,55;6,03;7,21;10,81;10,14;9,40;10,69;10,48;11,38;8,90;7,27;8,73;6,17;14,75;17,91;11,32;11,62;8,83;12,60;11,91;11,68;7,54;9,85;7,21;7,18;12,50;14,80;13,00;12,37;12,43;14,17;14,50;10,47;7,69;9,61;7,99;10,83;15,61;16,12;14,37;12,47;16,69;16,52;11,31
Yemen, Rep. of;1092,58;943,93;1096,61;1057,55;1382,24;852,84;830,77;1004,42;816,13;933,90;854,49;991,92;910,62;974,71;901,25;364,59;333,23;534,09;545,15;501,07;487,35;543,41;496,48;698,21;635,09;675,27;575,22;623,31;722,57;812,26;521,36;608,44;482,60;449,80;521,28;557,01;568,84;461,07;663,74;602,67;663,05;571,55;592,68;623,86;501,71;591,29;706,89;592,99;527,98;601,84;621,44;682,63;765,20;782,30;781,74;837,85;514,77;650,56;616,33;700,35;1009,78;890,34;1033,98;1002,31;919,64;645,36;934,06;770,83;836,07;869,00;914,51;1025,48;830,27;828,50;939,85;882,33;892,64;844,94;1012,79;1049,10;1053,56;1038,13;1046,68;932,49;1050,85;974,86;1070,18;1151,42;803,97;838,46;609,82;832,35;713,03;798,80;588,84;959,16;736,86;817,62;643,12;1039,61;554,73;333,04;416,11;443,21;100,89;35,79;33,56;28,73;24,19;79,34;23,40;27,03;42,52;46,37;48,71;70,42;77,47;77,03;60,21;159,13;117,45;87,29;125,77;88,09;153,44;76,67;417,59;319,28;216,02;78,90;165,61;128,69;194,43;160,20;253,00;183,42;145,50;136,75;167,36;137,26;211,05;35,83;60,02;209,03;188,15;103,95;246,38;40,35;164,22;82,39;116,11;147,70;103,73;199,41;71,43;208,97;56,03;218,86;51,57;233,62;172,76;197,12;94,32;122,04
Middle East and Central Asia not specified;2,07;2,02;1,23;1,77;2,30;1,85;1,89;1,95;1,31;2,71;0,01;0,19;0,01;0,00;0,03;0,02;0,04;0,00;0,32;0,04;0,02;0,00;0,00;0,06;0,94;1,49;1,71;1,54;1,45;1,22;1,09;1,10;1,18;1,58;2,10;1,69;2,14;1,53;1,72;2,55;2,31;2,30;2,05;2,58;3,15;4,80;3,88;3,65;2,77;3,13;3,61;5,68;6,48;6,20;4,27;2,84;1,60;1,76;2,12;0,80;0,77;0,75;3,13;0,93;0,81;0,41;0,75;0,75;0,74;0,90;0,93;1,00;1,04;0,78;1,07;0,08;0,65;1,44;1,86;1,15;1,28;1,52;1,47;1,73;1,96;2,45;2,21;2,29;147,67;124,98;117,77;109,76;198,15;208,28;100,46;147,81;106,75;177,03;279,89;104,03;139,85;78,18;106,29;215,09;262,19;214,71;137,84;102,69;202,10;182,84;110,75;159,17;112,21;135,91;141,81;153,42;118,64;196,62;146,54;170,60;182,46;114,77;120,39;160,07;153,82;90,58;219,25;192,55;181,17;244,61;134,69;119,42;131,22;228,67;171,73;132,98;101,99;152,19;159,36;183,31;163,28;213,08;132,89;255,87;113,89;110,17;193,72;262,57;140,16;133,30;118,04;206,19;180,51;172,48;142,21;171,32;163,45;183,45;219,71;259,98;134,04;122,91;261,82;106,87
Sub-Saharan Africa;34140,18;30423,25;33872,83;36343,27;35429,53;35210,85;37454,23;37238,24;37289,58;38489,25;34474,56;36472,84;31562,48;29768,30;29357,70;29511,49;29449,22;31203,97;30414,64;28986,44;29402,73;29715,47;27047,63;28469,55;22255,62;22482,87;24223,36;26344,06;25288,53;26662,82;25634,32;27648,99;26948,56;25560,66;25724,96;27051,06;24514,12;22431,40;27791,99;25435,64;28189,39;28636,37;26442,60;27596,84;27654,56;28955,95;27631,34;28277,47;26492,27;27901,64;28954,20;28869,77;30204,79;30308,92;28943,02;30092,72;29808,47;31086,82;31068,71;29842,66;27881,49;25227,04;29011,20;29869,91;32290,61;29441,72;31353,10;28962,73;29060,76;31365,76;29809,82;32624,15;27774,77;25022,25;27370,57;20150,69;30812,67;28587,90;34422,15;35378,14;35478,86;36265,79;36343,86;37413,86;38412,18;38080,09;41226,39;39634,71;40143,71;37217,31;40077,25;39233,97;38428,93;38106,67;41789,00;36178,20;40596,41;37695,56;37081,27;36523,93;27573,47;25299,44;29173,81;27144,15;27178,13;29199,35;29103,41;25802,08;26418,32;26591,59;24074,14;25011,71;21269,17;21514,44;23723,62;24329,03;23363,44;25863,93;24376,63;24683,16;25259,64;23837,46;26337,14;26957,06;25108,17;24804,20;29793,27;26962,86;29195,29;27107,90;27383,95;29144,74;29612,86;30141,80;31569,99;30645,87;34163,28;29927,95;34358,68;34497,45;34332,58;32547,34;34136,17;34514,98;31811,82;37495,61;32615,16;32091,94;31034,21;28822,27;31828,72;32577,22;33936,32;31796,07;33322,91;31290,38;32384,03;32102,52;31877,22;32602,93;32472,07;28078,18;30795,48;21932,21
Angola;2607,71;1763,13;1859,12;2082,22;2211,04;2434,39;2278,17;2431,71;2570,95;2791,85;2424,59;3270,35;3839,23;1596,06;1499,43;1459,20;1436,28;1467,40;1259,87;1377,09;1368,63;1356,76;1127,46;1236,18;930,09;857,21;898,47;1034,55;862,76;939,73;966,01;881,12;1289,34;1071,19;1054,15;1010,16;892,25;1036,39;1065,53;889,12;1123,02;1057,30;1088,45;1037,75;1052,99;1084,16;923,83;870,76;713,04;735,88;857,61;851,34;844,94;971,90;901,04;1057,59;916,30;1013,11;961,68;826,57;850,00;660,49;825,69;772,40;862,86;766,65;855,92;745,21;763,76;875,68;810,23;795,08;646,23;599,14;660,35;535,63;658,59;664,77;713,58;703,26;781,03;804,12;819,22;802,10;910,40;1065,84;977,77;1260,65;5638,80;5706,64;5804,74;5621,93;5549,92;5635,71;5947,20;4372,44;6270,72;5097,81;4949,43;4758,58;3148,36;2645,22;3619,32;2753,48;3437,50;3472,42;4069,78;3201,82;2716,77;3024,94;2539,63;2721,29;1882,33;2281,99;1803,09;2267,75;2089,68;2362,67;3449,01;2659,84;2664,53;2073,97;2586,46;2048,15;3123,83;2150,08;2982,17;2776,92;3122,18;2665,43;2809,77;3131,96;3015,34;2602,99;3090,19;3382,03;3766,27;2869,28;3647,28;4114,41;3504,71;3292,74;3634,68;3922,06;3121,39;4258,73;3797,17;3331,20;3387,41;3159,79;2690,05;3111,73;3564,60;3498,66;3247,02;3010,53;3005,66;2381,22;2737,73;3361,84;3589,38;1799,63;2831,91;1644,03
Benin;640,15;500,65;679,16;758,47;813,68;777,96;854,75;829,10;810,19;761,22;731,43;658,14;597,27;555,61;469,66;533,64;679,31;630,03;629,69;593,06;608,26;602,25;522,29;545,87;429,22;389,33;417,62;462,92;521,13;463,07;417,13;408,32;472,87;466,93;391,10;390,00;365,45;404,40;507,59;520,59;603,08;558,94;477,68;613,13;440,57;444,41;444,62;471,62;465,31;470,65;477,29;464,09;422,71;482,50;422,80;465,03;499,05;450,05;556,37;509,59;540,99;382,00;554,30;547,86;576,12;509,46;571,21;447,96;376,46;293,87;214,21;227,68;215,43;246,96;255,38;242,68;345,37;356,07;352,60;347,29;355,98;379,90;387,76;443,72;369,47;378,72;398,10;436,19;188,00;179,73;205,84;205,16;236,88;291,85;270,73;206,16;187,51;185,84;159,09;148,80;89,20;72,02;87,68;95,19;142,84;155,84;154,77;103,98;105,16;103,20;79,26;88,44;78,75;84,03;101,19;100,79;92,98;139,99;133,11;113,10;90,97;86,08;81,60;92,84;70,33;97,92;150,85;138,80;150,74;193,53;150,38;123,44;120,40;99,03;109,76;77,05;172,54;104,88;126,54;116,34;167,51;188,49;208,37;139,60;93,84;90,43;92,50;84,08;105,38;120,98;134,38;128,43;146,98;214,29;201,86;192,24;135,18;102,43;93,82;84,26;101,57;133,38;142,51;121,38
Botswana;533,88;592,53;730,07;512,42;596,89;673,81;635,69;492,39;668,86;717,44;647,87;490,86;454,38;638,77;635,01;613,70;605,05;627,10;510,52;544,25;579,19;558,27;460,41;390,85;413,07;583,40;498,11;493,72;415,77;495,17;401,41;466,22;556,48;459,68;475,75;394,55;345,71;404,26;545,34;355,42;445,44;534,63;343,38;504,87;619,94;437,14;537,06;487,33;367,97;490,35;532,28;478,19;435,66;514,06;389,21;463,03;458,14;658,20;558,74;485,08;526,19;458,49;542,80;601,94;439,84;399,05;532,13;464,99;575,67;538,22;567,81;569,25;435,85;397,93;535,12;116,78;621,57;487,42;721,96;528,78;556,68;599,81;485,27;596,73;516,02;628,27;605,85;540,06;519,65;469,18;486,46;581,10;514,75;639,80;628,85;550,68;398,57;535,06;522,34;473,08;497,39;419,91;567,88;368,32;475,64;459,85;340,86;264,73;378,46;349,12;200,28;315,05;486,37;508,85;609,53;625,69;618,98;651,35;563,13;466,20;784,05;439,85;797,72;708,97;638,10;650,11;583,42;604,41;733,03;602,51;432,14;535,83;563,02;514,81;725,52;766,77;522,61;437,78;539,23;479,30;550,89;545,83;463,17;347,00;481,74;488,74;549,86;585,31;412,56;419,03;526,38;491,07;465,72;405,10;355,47;360,12;364,71;309,33;419,92;447,96;371,88;348,84;450,83;86,61
Burkina Faso;230,30;300,92;305,06;279,50;251,54;271,07;259,38;217,97;206,28;229,97;215,00;220,05;211,24;194,11;195,71;197,62;233,42;196,22;216,99;193,41;178,98;189,87;192,29;212,31;179,32;219,74;214,92;205,99;209,30;220,70;191,83;200,24;201,36;195,81;230,68;236,75;228,92;238,11;308,75;247,31;284,02;264,91;215,60;257,62;226,00;223,46;288,95;267,45;258,10;251,75;295,05;280,46;267,60;241,56;229,70;228,77;205,72;248,72;274,96;311,31;264,92;338,30;279,85;254,53;281,67;235,93;254,08;238,34;200,92;240,37;244,40;270,58;269,33;232,22;264,84;219,17;322,59;354,32;425,16;752,42;391,60;682,72;318,73;379,27;371,01;410,64;535,01;414,05;125,82;117,62;188,41;175,56;199,65;211,45;237,47;195,82;155,18;224,02;150,27;141,47;119,02;163,50;173,19;152,95;145,77;161,65;176,36;137,85;131,27;179,14;163,39;139,98;108,66;123,82;159,56;143,54;169,98;172,85;190,94;187,56;212,07;172,06;196,85;184,36;185,36;176,19;224,06;225,62;238,89;236,72;212,76;287,41;216,58;223,74;247,29;234,29;268,57;216,67;297,57;262,93;248,26;257,64;269,66;259,09;214,21;293,80;214,69;210,80;250,85;225,48;295,47;277,65;265,10;287,73;299,97;279,29;331,97;323,69;183,10;308,59;299,46;238,60;332,88;255,85
Burundi;34,17;41,96;44,19;38,42;44,72;35,30;48,84;40,61;45,90;47,10;41,96;59,25;34,89;39,78;39,76;29,99;25,22;45,98;34,91;34,14;30,37;31,37;48,08;34,32;32,35;31,29;39,12;38,43;39,46;43,15;46,52;36,09;43,09;29,55;28,46;35,61;40,01;25,28;44,94;34,72;46,56;43,78;32,10;39,94;35,30;43,59;55,43;36,02;34,60;34,76;43,27;43,14;42,16;40,82;38,08;50,18;48,69;45,21;32,30;37,65;44,62;45,24;39,78;55,15;56,55;51,53;44,64;46,35;39,77;48,60;41,52;50,96;49,74;48,12;46,82;45,58;66,47;52,61;55,46;58,70;74,56;72,18;55,58;62,90;60,12;72,37;67,01;77,74;27,06;21,28;23,94;21,38;21,42;21,66;22,56;21,50;23,59;24,42;24,48;28,70;21,58;21,35;23,89;22,75;24,15;20,70;21,55;18,89;20,73;24,11;19,82;23,93;15,50;15,24;16,00;15,34;15,29;14,51;12,27;12,13;12,03;17,50;16,56;23,65;10,19;11,03;11,50;14,09;11,73;12,11;13,04;10,81;13,74;15,22;17,12;18,47;44,63;40,81;13,97;17,85;14,82;12,68;17,69;9,95;15,46;37,77;11,24;14,40;20,17;17,69;20,58;21,57;24,38;19,30;19,54;19,23;16,79;20,70;22,66;25,17;20,57;16,77;13,45;8,45
Cabo Verde;39,39;56,41;65,26;63,46;59,98;83,23;71,04;57,80;61,62;76,93;60,72;76,25;35,16;43,79;49,35;62,00;40,35;61,91;44,89;43,66;45,51;45,64;43,22;41,55;44,02;42,17;43,97;71,47;51,47;65,20;54,65;60,05;60,18;59,09;59,62;52,93;47,61;48,22;52,50;59,27;55,05;72,61;52,69;75,39;55,16;65,38;91,05;52,57;60,30;49,96;68,36;82,56;87,91;61,43;69,22;69,63;53,77;65,24;58,97;52,28;61,65;64,80;51,25;64,94;79,47;64,82;70,45;77,26;128,28;97,29;84,76;65,12;70,84;109,66;86,30;47,64;42,59;57,69;93,70;77,04;95,15;99,71;55,89;59,58;96,10;61,36;76,96;82,67;9,08;6,43;5,43;10,27;33,76;6,02;7,62;7,98;10,43;12,21;8,33;7,64;5,36;6,71;6,15;11,62;3,22;7,00;7,57;6,84;4,67;159,85;152,15;139,23;176,99;8,94;8,13;10,57;9,52;5,70;7,55;3,17;12,63;5,77;10,93;7,76;7,63;4,52;6,34;5,50;5,98;7,81;10,17;9,81;10,91;7,08;13,58;13,79;27,98;7,08;11,62;7,82;8,82;10,43;8,08;12,39;9,98;11,08;11,64;12,48;10,12;8,91;5,48;10,10;11,59;9,70;9,79;12,22;10,96;7,59;10,22;9,56;6,53;9,81;10,34;7,19
Cameroon;704,90;514,43;602,44;656,84;627,52;650,28;640,54;653,43;648,03;625,51;612,29;695,75;589,31;572,90;456,35;622,21;523,51;548,12;486,52;440,11;462,99;496,03;429,65;496,34;370,12;388,28;431,51;491,62;462,81;492,26;436,43;470,58;544,82;510,36;450,99;468,90;395,52;313,93;483,02;480,36;519,33;433,26;504,28;483,91;474,55;483,82;611,93;544,03;541,18;488,42;508,44;607,27;560,52;525,99;535,80;501,07;526,29;558,78;492,49;537,82;486,54;396,09;451,20;496,78;471,51;493,33;490,43;460,16;517,81;520,28;531,11;590,46;522,57;456,54;453,48;460,45;591,66;464,74;606,75;598,09;586,87;843,85;856,31;599,87;735,84;724,74;722,10;692,03;557,12;419,53;508,78;322,38;557,08;524,46;585,44;478,68;396,60;568,40;544,39;406,19;486,49;411,38;430,63;341,66;510,51;398,56;448,86;362,20;457,46;350,73;349,68;404,66;239,43;312,11;377,24;296,44;372,89;385,40;288,29;406,86;444,34;369,35;351,19;290,51;368,76;434,86;382,28;293,74;372,26;335,24;376,76;306,59;412,66;434,00;365,52;392,66;304,02;377,37;423,80;535,06;404,80;487,82;458,62;416,63;416,58;463,42;523,10;357,01;530,42;447,98;442,45;512,49;341,61;603,08;481,28;479,06;394,91;504,73;573,01;594,95;551,63;511,73;452,17;250,16
Central African Rep.;13,36;14,44;18,99;17,84;25,42;24,45;27,63;30,61;34,58;38,36;25,31;28,74;47,45;19,81;38,17;30,19;30,96;54,89;65,48;33,30;96,12;68,39;61,20;56,81;22,69;18,78;28,17;21,74;21,40;20,84;24,46;23,50;18,92;22,57;21,23;16,47;18,20;18,45;18,96;17,79;18,43;22,37;22,50;29,84;15,56;18,97;17,71;38,58;19,53;37,56;21,70;19,22;18,36;23,79;22,40;24,50;39,04;32,39;52,08;19,04;21,09;23,03;28,93;24,36;47,97;23,02;24,94;61,60;25,19;35,65;31,90;25,93;23,42;28,93;27,96;27,66;22,13;25,18;38,11;37,00;25,58;39,86;31,61;27,82;28,10;32,88;31,14;35,35;6,78;3,08;7,36;7,70;6,30;6,12;7,72;12,27;6,07;6,35;3,96;5,45;33,66;8,78;7,64;69,83;6,13;5,23;6,14;9,02;15,67;5,81;6,51;5,97;6,48;7,81;8,59;9,47;7,50;15,11;13,01;11,81;13,64;16,91;13,75;9,50;11,99;8,60;12,08;10,92;13,22;11,05;8,23;10,61;12,73;12,01;11,72;10,49;7,44;23,93;6,69;8,40;14,92;7,32;10,06;10,55;10,23;6,19;10,65;4,67;6,54;7,36;5,26;6,34;9,48;8,14;7,27;8,68;7,47;7,59;8,60;3,48;10,59;12,60;8,62;9,48
Chad;122,16;147,87;97,63;129,23;117,07;130,26;106,76;86,96;125,84;93,03;90,43;94,37;99,79;74,19;77,95;62,14;77,68;83,33;68,84;58,91;66,94;59,20;62,84;58,45;37,13;60,07;74,81;47,24;47,31;46,32;57,80;45,05;52,18;39,49;51,05;43,47;44,84;42,58;51,02;41,59;52,89;48,53;50,36;41,57;48,91;46,06;57,72;63,13;53,14;77,12;64,51;58,89;54,24;65,08;59,51;76,58;66,88;80,77;100,22;67,17;70,89;67,12;80,68;99,91;94,87;88,33;78,91;72,13;86,48;76,77;69,16;117,45;89,15;86,39;107,76;80,97;72,07;64,94;110,33;118,91;109,33;92,41;54,62;63,44;72,14;81,65;61,32;94,03;242,43;287,92;167,60;235,71;277,35;457,22;219,69;292,33;217,25;374,46;159,83;221,62;182,86;235,81;166,46;201,31;167,97;245,69;279,88;174,35;194,65;110,00;147,95;249,81;120,00;136,29;90,57;133,41;127,66;230,73;201,13;157,06;154,64;87,25;129,90;98,49;92,58;83,87;106,96;19,94;126,89;96,67;36,41;80,29;193,49;89,45;245,89;119,27;178,97;103,86;110,35;71,04;79,02;115,26;86,40;283,66;141,45;302,20;51,06;226,79;97,00;94,21;225,74;94,27;32,66;129,06;168,76;114,55;29,49;148,99;91,79;116,12;172,71;97,65;31,28;72,40
